"","species","area.km2","status"
"332","Viola villosa",797052.636311332,"NT"
"333","Lasthenia californica",457455.72255274,"NT"
"334","Ficus benjamina",49439903.630359,"NT"
"335","Sanguinaria canadensis",3986714.46575076,"NT"
"336","Arbutus menziesii",663841.095273094,"NT"
"337","Dicentra formosa",1522008.71260466,"NT"
"338","Dicentra cucullaria",3377133.33211912,"NT"
"339","Calochortus umbellatus",36616.1928173572,"NT"
"340","Calochortus eurycarpus",336341.162034755,"NT"
"341","Maianthemum racemosum",7492674.07266562,"NT"
"342","Prosartes hookeri",1189631.84184692,"NT"
"343","Calochortus luteus",136176.50934674,"NT"
"344","Calochortus superbus",75377.6063871985,"NT"
"345","Toxicodendron diversilobum",576094.886977,"NT"
"346","Quincula lobata",1717259.06299768,"NT"
"347","Triteleia laxa",1520439.03939379,"NT"
"348","Clarkia purpurea",495116.248205462,"NT"
"349","Phacelia phacelioides",9308.4023398583,"VU"
"350","Quercus wislizeni",298154.642157965,"NT"
"351","Quercus chrysolepis",620382.938204623,"NT"
"352","Phacelia divaricata",90427.7796249218,"NT"
"353","Gilia achilleifolia",340898.420858947,"NT"
"354","Allophyllum gilioides",611851.036023604,"NT"
"355","Nymphaea odorata",10973575.6665503,"NT"
"356","Orontium aquaticum",1316884.59974008,"NT"
"357","Crataegus monogyna",28391805.019243,"NT"
"358","Schlumbergera truncata",59592542.7050344,"NT"
"359","Pedicularis canadensis",3755072.63552673,"NT"
"360","Justicia americana",2614912.40759042,"NT"
"361","Rheum rhabarbarum",52228418.6141815,"NT"
"362","Wisteria frutescens",3433514.05723127,"NT"
"363","Asclepias californica",194390.456396469,"NT"
"364","Heuchera micrantha",1057216.54837653,"NT"
"365","Bellardia trixago",4291631.52432175,"NT"
"366","Platystemon californicus",592341.960325847,"NT"
"367","Tamarix gallica",13064885.2016376,"NT"
"368","Linum usitatissimum",21790915.0893878,"NT"
"369","Calochortus albus",155848.951291083,"NT"
"370","Limnanthes douglasii",1628764.31168169,"NT"
"371","Caulerpa prolifera",3504356.57443733,"NT"
"372","Galearis spectabilis",2252608.43401588,"NT"
"373","Cypripedium reginae",2831380.58124593,"NT"
"374","Trillium undulatum",1482796.72827788,"NT"
"375","Passiflora antioquiensis",282746.648046586,"NT"
"376","Passiflora edulis",39592994.3166385,"NT"
"377","Passiflora alata",2639551.40460777,"NT"
